iter	Passed	Remaining
0	2	2549
1	4	2392
2	7	2336
3	9	2364
4	11	2343
5	14	2347
6	16	2279
7	18	2251
8	20	2237
9	22	2233
10	24	2225
11	26	2209
12	28	2200
13	31	2189
14	33	2181
15	37	2313
16	40	2333
17	42	2310
18	45	2336
19	47	2342
20	50	2354
21	52	2351
22	55	2340
23	57	2336
24	59	2334
25	61	2311
26	63	2287
27	64	2239
28	65	2202
29	68	2219
30	71	2223
31	74	2246
32	77	2277
33	81	2305
34	84	2316
35	85	2281
36	87	2275
37	90	2286
38	91	2266
39	93	2255
40	96	2252
41	98	2240
42	100	2234
43	103	2243
44	106	2250
45	108	2251
46	111	2269
47	115	2292
48	118	2292
49	120	2293
50	123	2291
51	125	2285
52	127	2274
53	129	2260
54	131	2256
55	134	2264
56	136	2257
57	138	2247
58	140	2238
59	141	2224
60	143	2214
61	144	2192
62	147	2192
63	150	2193
64	151	2181
65	154	2183
66	156	2179
67	157	2163
68	159	2157
69	161	2147
70	164	2152
71	168	2169
72	171	2179
73	174	2184
74	176	2179
75	178	2174
76	181	2179
77	184	2179
78	186	2179
79	190	2187
80	192	2184
81	195	2184
82	197	2182
83	199	2176
84	201	2169
85	202	2152
86	204	2147
87	205	2134
88	207	2124
89	210	2130
90	212	2124
91	214	2118
92	216	2109
93	218	2106
94	219	2094
95	222	2097
96	225	2097
97	226	2086
98	228	2082
99	230	2078
100	231	2063
101	233	2056
102	234	2042
103	236	2037
104	238	2034
105	241	2035
106	244	2038
107	246	2037
108	249	2037
109	251	2038
110	253	2028
111	254	2020
112	256	2011
113	258	2007
114	260	2001
115	262	1997
116	264	1995
117	267	1995
118	268	1986
119	270	1981
120	273	1983
121	275	1980
122	277	1980
123	280	1980
124	282	1978
125	285	1978
126	287	1977
127	289	1973
128	290	1964
129	293	1961
130	295	1958
131	296	1951
132	299	1950
133	302	1952
134	304	1951
135	306	1948
136	308	1942
137	310	1938
138	312	1934
139	314	1932
140	316	1925
141	318	1923
142	321	1928
143	324	1928
144	326	1926
145	329	1928
146	332	1931
147	337	1940
148	343	1960
149	346	1966
150	349	1964
151	351	1963
152	355	1965
153	358	1968
154	361	1968
155	364	1969
156	366	1968
157	368	1966
158	370	1958
159	372	1955
160	374	1949
161	376	1948
162	378	1946
163	381	1944
164	383	1943
165	386	1940
166	388	1937
167	391	1936
168	392	1932
169	395	1931
170	397	1928
171	400	1926
172	401	1920
173	404	1918
174	406	1917
175	409	1915
176	411	1914
177	414	1912
178	415	1904
179	418	1904
180	420	1903
181	423	1903
182	425	1900
183	427	1896
184	429	1893
185	432	1891
186	434	1888
187	436	1886
188	439	1885
189	440	1878
190	442	1875
191	445	1872
192	446	1868
193	449	1867
194	452	1867
195	454	1864
196	455	1857
197	458	1855
198	460	1853
199	462	1851
200	465	1848
201	466	1843
202	469	1842
203	471	1839
204	472	1833
205	475	1831
206	477	1828
207	478	1822
208	480	1819
209	483	1819
210	486	1819
211	488	1817
212	491	1814
213	493	1812
214	495	1810
215	497	1805
216	500	1804
217	502	1801
218	504	1799
219	506	1796
220	509	1794
221	512	1794
222	515	1794
223	517	1794
224	519	1788
225	521	1784
226	523	1784
227	526	1781
228	528	1780
229	531	1780
230	534	1778
231	536	1777
232	539	1776
233	541	1773
234	543	1769
235	546	1767
236	548	1765
237	550	1761
238	552	1758
239	554	1754
240	556	1752
241	558	1750
242	560	1747
243	562	1744
244	565	1741
245	566	1737
246	568	1733
247	570	1731
248	573	1731
249	576	1728
250	578	1725
251	580	1722
252	582	1721
253	585	1718
254	587	1715
255	590	1714
256	592	1712
257	594	1709
258	595	1702
259	596	1698
260	598	1694
261	600	1690
262	602	1688
263	604	1685
264	605	1680
265	607	1676
266	609	1673
267	611	1670
268	613	1666
269	615	1663
270	617	1660
271	619	1658
272	621	1655
273	623	1652
274	624	1646
275	626	1644
276	628	1641
277	630	1638
278	631	1632
279	634	1630
280	636	1628
281	638	1626
282	640	1623
283	642	1620
284	644	1617
285	645	1612
286	648	1610
287	650	1608
288	652	1606
289	654	1603
290	656	1600
291	658	1597
292	660	1593
293	662	1591
294	665	1589
295	667	1586
296	668	1582
297	670	1580
298	672	1577
299	674	1574
300	676	1571
301	679	1570
302	681	1568
303	683	1565
304	685	1562
305	687	1558
306	689	1556
307	691	1554
308	694	1552
309	696	1550
310	699	1548
311	701	1546
312	704	1545
313	706	1543
314	708	1540
315	710	1538
316	713	1536
317	716	1535
318	718	1534
319	721	1533
320	724	1532
321	726	1529
322	728	1526
323	730	1523
324	732	1521
325	735	1519
326	736	1516
327	738	1513
328	741	1511
329	742	1508
330	744	1503
331	746	1502
332	749	1500
333	751	1499
334	754	1496
335	755	1493
336	757	1490
337	759	1486
338	761	1484
339	763	1482
340	765	1479
341	767	1476
342	769	1474
343	771	1471
344	773	1468
345	775	1465
346	777	1463
347	780	1461
348	782	1459
349	784	1457
350	786	1454
351	788	1452
352	790	1449
353	792	1446
354	794	1444
355	797	1441
356	798	1439
357	800	1436
358	803	1434
359	805	1431
360	807	1429
361	810	1427
362	812	1425
363	814	1422
364	816	1420
365	818	1418
366	820	1415
367	822	1411
368	823	1408
369	825	1406
370	827	1403
371	830	1401
372	832	1398
373	833	1394
374	835	1391
375	837	1389
376	839	1388
377	842	1385
378	843	1382
379	845	1380
380	847	1377
381	849	1374
382	851	1372
383	853	1369
384	855	1366
385	858	1365
386	860	1362
387	862	1360
388	864	1357
389	866	1355
390	868	1353
391	871	1351
392	872	1348
393	874	1345
394	876	1342
395	878	1340
396	880	1337
397	883	1335
398	886	1334
399	888	1332
400	890	1329
401	891	1326
402	893	1323
403	895	1320
404	897	1318
405	900	1317
406	902	1315
407	905	1313
408	908	1312
409	910	1310
410	914	1310
411	916	1308
412	918	1305
413	921	1303
414	923	1301
415	924	1298
416	927	1296
417	929	1293
418	931	1291
419	933	1288
420	934	1285
421	936	1282
422	938	1280
423	940	1277
424	942	1275
425	945	1273
426	947	1271
427	949	1268
428	951	1266
429	952	1262
430	954	1260
431	956	1257
432	959	1256
433	961	1253
434	963	1251
435	965	1248
436	967	1245
437	969	1243
438	971	1241
439	973	1239
440	975	1236
441	977	1234
442	980	1232
443	982	1229
444	984	1227
445	985	1223
446	987	1221
447	990	1219
448	992	1217
449	994	1215
450	996	1212
451	998	1210
452	1000	1207
453	1002	1205
454	1005	1203
455	1007	1201
456	1009	1199
457	1011	1196
458	1013	1194
459	1014	1191
460	1017	1189
461	1019	1187
462	1021	1185
463	1024	1182
464	1026	1180
465	1028	1178
466	1030	1175
467	1031	1173
468	1033	1169
469	1035	1167
470	1037	1165
471	1039	1163
472	1041	1160
473	1043	1158
474	1045	1155
475	1047	1153
476	1050	1151
477	1052	1149
478	1054	1146
479	1056	1144
480	1058	1142
481	1060	1140
482	1062	1137
483	1065	1135
484	1067	1133
485	1069	1130
486	1071	1128
487	1073	1126
488	1075	1123
489	1078	1122
490	1081	1120
491	1083	1118
492	1085	1116
493	1087	1114
494	1089	1112
495	1091	1109
496	1095	1108
497	1098	1107
498	1101	1105
499	1103	1103
500	1106	1101
501	1108	1099
502	1111	1098
503	1113	1095
504	1115	1093
505	1118	1091
506	1120	1089
507	1122	1087
508	1125	1085
509	1127	1083
510	1129	1081
511	1132	1079
512	1134	1077
513	1137	1075
514	1139	1073
515	1142	1071
516	1144	1069
517	1147	1067
518	1149	1065
519	1151	1063
520	1154	1061
521	1156	1059
522	1158	1056
523	1160	1054
524	1162	1052
525	1164	1049
526	1167	1047
527	1169	1045
528	1172	1043
529	1174	1041
530	1176	1039
531	1178	1037
532	1180	1034
533	1183	1032
534	1185	1030
535	1188	1028
536	1190	1026
537	1192	1024
538	1194	1021
539	1196	1019
540	1199	1017
541	1202	1016
542	1204	1013
543	1207	1012
544	1209	1009
545	1211	1007
546	1213	1005
547	1216	1003
548	1219	1001
549	1221	999
550	1223	996
551	1225	994
552	1227	992
553	1229	990
554	1232	987
555	1233	984
556	1234	982
557	1237	980
558	1239	977
559	1240	975
560	1243	972
561	1245	970
562	1247	968
563	1249	966
564	1252	964
565	1254	962
566	1256	959
567	1258	956
568	1260	955
569	1263	953
570	1267	951
571	1269	949
572	1270	947
573	1272	944
574	1275	942
575	1277	940
576	1279	938
577	1282	936
578	1285	934
579	1287	932
580	1290	930
581	1292	928
582	1294	926
583	1296	923
584	1299	921
585	1301	919
586	1303	917
587	1306	915
588	1308	913
589	1310	910
590	1312	908
591	1314	905
592	1316	903
593	1318	901
594	1321	899
595	1323	897
596	1325	894
597	1327	892
598	1329	890
599	1332	888
600	1333	885
601	1336	883
602	1338	880
603	1339	878
604	1340	875
605	1343	873
606	1344	870
607	1346	868
608	1348	866
609	1351	863
610	1353	861
611	1355	859
612	1357	857
613	1359	854
614	1361	852
615	1363	850
616	1365	847
617	1368	845
618	1370	843
619	1372	841
620	1374	839
621	1376	836
622	1378	834
623	1381	832
624	1383	829
625	1385	827
626	1387	825
627	1389	822
628	1391	820
629	1392	817
630	1394	815
631	1396	813
632	1398	810
633	1401	808
634	1403	806
635	1405	804
636	1407	801
637	1409	799
638	1411	797
639	1414	795
640	1416	793
641	1418	790
642	1420	788
643	1422	786
644	1424	783
645	1427	782
646	1428	779
647	1431	777
648	1433	775
649	1436	773
650	1438	771
651	1440	768
652	1443	766
653	1445	764
654	1447	762
655	1449	760
656	1451	757
657	1453	755
658	1455	753
659	1459	751
660	1461	749
661	1463	747
662	1465	744
663	1467	742
664	1469	740
665	1473	738
666	1476	736
667	1478	735
668	1486	735
669	1490	734
670	1493	732
671	1495	729
672	1497	727
673	1500	725
674	1502	723
675	1505	721
676	1507	719
677	1509	717
678	1511	714
679	1514	712
680	1516	710
681	1519	708
682	1521	705
683	1522	703
684	1524	700
685	1526	698
686	1528	696
687	1530	694
688	1533	691
689	1535	689
690	1536	687
691	1538	684
692	1540	682
693	1542	679
694	1543	677
695	1545	675
696	1547	672
697	1549	670
698	1552	668
699	1554	666
700	1556	663
701	1558	661
702	1560	659
703	1562	657
704	1565	655
705	1567	652
706	1570	650
707	1572	648
708	1574	646
709	1577	644
710	1580	642
711	1582	640
712	1584	637
713	1586	635
714	1588	633
715	1590	630
716	1592	628
717	1595	626
718	1597	624
719	1599	622
720	1601	619
721	1603	617
722	1605	614
723	1607	612
724	1609	610
725	1611	608
726	1613	606
727	1615	603
728	1617	601
729	1620	599
730	1621	596
731	1624	594
732	1625	592
733	1628	590
734	1630	587
735	1632	585
736	1634	583
737	1636	580
738	1639	578
739	1641	576
740	1645	575
741	1647	572
742	1649	570
743	1651	568
744	1654	566
745	1658	564
746	1662	562
747	1665	561
748	1667	558
749	1670	556
750	1672	554
751	1675	552
752	1677	550
753	1679	547
754	1681	545
755	1683	543
756	1686	541
757	1689	539
758	1691	537
759	1693	534
760	1695	532
761	1697	530
762	1700	528
763	1702	525
764	1704	523
765	1706	521
766	1709	519
767	1711	517
768	1714	514
769	1716	512
770	1719	510
771	1721	508
772	1724	506
773	1726	504
774	1728	501
775	1731	499
776	1733	497
777	1736	495
778	1737	492
779	1739	490
780	1742	488
781	1744	486
782	1746	484
783	1749	481
784	1751	479
785	1754	477
786	1756	475
787	1758	473
788	1761	471
789	1764	468
790	1766	466
791	1768	464
792	1770	462
793	1771	459
794	1773	457
795	1776	455
796	1779	453
797	1781	450
798	1782	448
799	1785	446
800	1787	444
801	1790	442
802	1793	439
803	1795	437
804	1798	435
805	1800	433
806	1803	431
807	1805	428
808	1807	426
809	1810	424
810	1812	422
811	1814	420
812	1816	417
813	1818	415
814	1820	413
815	1823	411
816	1825	408
817	1828	406
818	1830	404
819	1832	402
820	1834	399
821	1836	397
822	1840	395
823	1842	393
824	1845	391
825	1848	389
826	1850	387
827	1853	384
828	1855	382
829	1857	380
830	1860	378
831	1862	376
832	1864	373
833	1867	371
834	1869	369
835	1871	367
836	1874	364
837	1876	362
838	1878	360
839	1880	358
840	1882	355
841	1885	353
842	1887	351
843	1890	349
844	1892	347
845	1894	344
846	1896	342
847	1899	340
848	1901	338
849	1904	336
850	1906	333
851	1908	331
852	1910	329
853	1912	327
854	1915	324
855	1917	322
856	1919	320
857	1921	318
858	1923	315
859	1925	313
860	1929	311
861	1931	309
862	1933	306
863	1935	304
864	1937	302
865	1940	300
866	1943	298
867	1945	295
868	1947	293
869	1949	291
870	1951	288
871	1953	286
872	1956	284
873	1958	282
874	1960	280
875	1962	277
876	1964	275
877	1967	273
878	1970	271
879	1972	269
880	1974	266
881	1977	264
882	1979	262
883	1981	259
884	1983	257
885	1985	255
886	1987	253
887	1990	251
888	1992	248
889	1993	246
890	1995	244
891	1997	241
892	1999	239
893	2002	237
894	2004	235
