iter	Passed	Remaining
0	3	3195
1	5	2985
2	10	3452
3	12	3055
4	14	2903
5	17	2902
6	21	2985
7	24	3026
8	27	3003
9	29	2927
10	31	2865
11	34	2812
12	36	2808
13	39	2816
14	42	2777
15	44	2735
16	46	2700
17	49	2677
18	52	2705
19	55	2715
20	57	2692
21	59	2662
22	62	2640
23	64	2633
24	68	2657
25	70	2624
26	72	2603
27	74	2586
28	76	2565
29	79	2562
30	82	2578
31	84	2554
32	86	2540
33	89	2530
34	91	2522
35	94	2526
36	97	2538
37	100	2536
38	102	2527
39	104	2503
40	106	2498
41	109	2497
42	112	2507
43	115	2505
44	116	2477
45	119	2470
46	122	2476
47	125	2481
48	128	2495
49	131	2490
50	133	2483
51	135	2477
52	138	2471
53	141	2480
54	143	2471
55	146	2465
56	148	2449
57	149	2433
58	152	2428
59	155	2431
60	158	2436
61	160	2433
62	163	2427
63	165	2427
64	169	2432
65	172	2435
66	174	2432
67	176	2418
68	178	2411
69	182	2422
70	185	2432
71	188	2430
72	191	2426
73	193	2424
74	197	2431
75	199	2428
76	203	2435
77	206	2439
78	209	2439
79	211	2433
80	214	2434
81	217	2436
82	220	2435
83	222	2428
84	224	2418
85	226	2404
86	229	2406
87	232	2409
88	234	2403
89	237	2398
90	239	2392
91	241	2388
92	245	2393
93	248	2390
94	250	2385
95	252	2380
96	255	2376
97	257	2374
98	260	2375
99	263	2373
100	266	2368
101	268	2363
102	271	2360
103	273	2359
104	276	2359
105	279	2355
106	281	2350
107	284	2346
108	286	2342
109	289	2342
110	292	2341
111	294	2337
112	297	2332
113	299	2327
114	301	2318
115	304	2317
116	307	2320
117	309	2316
118	312	2311
119	314	2306
120	316	2301
121	320	2305
122	322	2302
123	325	2298
124	327	2292
125	330	2289
126	332	2285
127	335	2287
128	338	2284
129	340	2280
130	343	2276
131	345	2272
132	348	2270
133	351	2272
134	353	2266
135	356	2262
136	358	2256
137	360	2252
138	364	2256
139	368	2261
140	371	2260
141	373	2256
142	375	2252
143	379	2253
144	382	2255
145	385	2254
146	388	2254
147	391	2253
148	397	2270
149	401	2276
150	405	2278
151	409	2282
152	411	2278
153	414	2278
154	417	2277
155	420	2276
156	425	2282
157	427	2280
158	430	2276
159	432	2271
160	434	2266
161	438	2266
162	440	2263
163	443	2260
164	446	2257
165	448	2254
166	451	2253
167	455	2253
168	457	2250
169	460	2246
170	462	2242
171	465	2241
172	469	2242
173	471	2240
174	474	2235
175	476	2231
176	478	2226
177	481	2224
178	484	2223
179	487	2220
180	489	2216
181	492	2212
182	495	2210
183	498	2211
184	501	2210
185	504	2206
186	506	2201
187	509	2198
188	511	2196
189	515	2195
190	517	2191
191	519	2186
192	521	2182
193	524	2178
194	526	2175
195	530	2174
196	531	2167
197	534	2163
198	536	2159
199	538	2155
200	541	2152
201	544	2151
